0 1 "Holder0" 19 3658.62 1000 0
1 1 "Holder1" 20 130.02 1001 0
2 2 "Holder2" 21 2625.26 1002 0
3 1 "Holder3" 22 930.921 1003 0
4 2 "Holder4" 23 2690.4 1004 0
5 0 "Holder5" 24 1350.98 1005 0
6 1 "Holder6" 25 1716.27 1006 0
7 0 "Holder7" 26 1267.35 1007 0
8 2 "Holder8" 27 4650.11 1008 0
9 2 "Holder9" 28 3302.95 1009 0
10 0 "Holder10" 29 1746.62 1010 0
11 1 "Holder11" 30 168.022 1011 0
12 0 "Holder12" 31 4545.83 1012 0
13 1 "Holder13" 32 4609.17 1013 0
14 1 "Holder14" 33 138.358 1014 0
15 2 "Holder15" 34 4458.26 1015 0
16 0 "Holder16" 35 3541.76 1016 0
17 0 "Holder17" 36 1755.62 1017 0
18 1 "Holder18" 37 4373.13 1018 0
19 2 "Holder19" 38 4895.19 1019 0
20 2 "Holder20" 39 1748.15 1020 0
21 1 "Holder21" 40 917.859 1021 0
22 1 "Holder22" 41 426.615 1022 0
23 2 "Holder23" 42 3357.24 1023 0
24 1 "Holder24" 43 809.784 1024 0
25 1 "Holder25" 44 1599.94 1025 0
26 1 "Holder26" 45 575.327 1026 0
27 1 "Holder27" 46 2854.21 1027 0
28 1 "Holder28" 47 3799.38 1028 0
29 2 "Holder29" 48 1665.98 1029 0
30 1 "Holder30" 49 3782.78 1030 0
31 0 "Holder31" 50 2047.47 1031 0
32 0 "Holder32" 51 2302.81 1032 0
33 1 "Holder33" 52 3203.39 1033 0
34 0 "Holder34" 53 2058.97 1034 0
35 1 "Holder35" 54 579.749 1035 0
36 2 "Holder36" 55 2758.03 1036 0
37 0 "Holder37" 56 3134.31 1037 0
38 0 "Holder38" 57 731.867 1038 0
39 1 "Holder39" 58 4033.5 1039 0
40 0 "Holder40" 59 1270.5 1040 0
41 1 "Holder41" 60 1802.91 1041 0
42 2 "Holder42" 61 4206.81 1042 0
43 2 "Holder43" 62 1966.4 1043 0
44 0 "Holder44" 63 1652.53 1044 0
45 0 "Holder45" 64 1068.6 1045 0
46 2 "Holder46" 65 2325.94 1046 0
47 2 "Holder47" 66 1094.58 1047 0
48 1 "Holder48" 67 3657.37 1048 0
49 2 "Holder49" 68 4926.13 1049 0
50 0 "visva" 19 100 1234 100
